City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Lazaro Cardenas,MX,2020-02-22 21:43:39,17.96,-102.2,85.08,54,0,9.15
234,Rio Grande,BR,2020-02-22 21:44:38,-32.03,-52.1,69.8,64,75,14.99
235,San Angelo,US,2020-02-22 21:40:03,31.46,-100.44,64.99,39,1,13.87
236,Sabang,ID,2020-02-22 21:44:39,5.89,95.32,82.15,77,23,23.76
237,Oeiras Do Para,BR,2020-02-22 21:44:39,-2.0,-49.85,79.16,92,100,3.02
238,Nouadhibou,MR,2020-02-22 21:44:40,20.93,-17.03,62.6,82,13,17.22
239,Auki,SB,2020-02-22 21:44:40,-8.77,160.7,82.92,77,6,4.14
240,Shasta Lake,US,2020-02-22 21:44:40,40.68,-122.37,75.0,34,1,5.82
241,Mount Gambier,AU,2020-02-22 21:44:40,-37.83,140.77,50.0,100,3,3.33
242,Almasu,RO,2020-02-22 21:44:40,46.95,23.13,32.0,78,68,2.24
243,Aiquile,BO,2020-02-22 21:44:41,-18.2,-65.18,68.32,58,81,7.2
244,Seoul,KR,2020-02-22 21:43:02,37.57,126.98,32.0,79,1,1.12
245,Shingu,JP,2020-02-22 21:44:41,33.73,135.98,49.55,62,0,20.4
246,Mahebourg,MU,2020-02-22 21:42:26,-20.41,57.7,77.0,88,75,3.36
247,Paamiut,GL,2020-02-22 21:44:42,61.99,-49.67,16.95,89,100,14.63
248,Manokwari,ID,2020-02-22 21:39:46,-0.87,134.08,72.01,83,100,4.88
249,Pascagoula,US,2020-02-22 21:44:42,30.37,-88.56,62.01,48,1,5.82
250,Dunedin,NZ,2020-02-22 21:43:48,-45.87,170.5,54.72,61,73,6.38
251,Klaksvik,FO,2020-02-22 21:44:42,62.23,-6.59,35.6,69,96,8.05
252,College,US,2020-02-22 21:43:31,64.86,-147.8,10.99,84,90,10.29
253,Ca Mau,VN,2020-02-22 21:44:43,9.18,105.15,77.86,61,0,12.24
254,Quatre Cocos,MU,2020-02-22 21:44:43,-20.21,57.76,77.0,88,75,3.36
255,Sinnai,IT,2020-02-22 21:44:44,39.3,9.2,55.4,87,5,2.24
256,Mlonggo,ID,2020-02-22 21:44:44,-6.53,110.7,80.71,82,100,14.14
257,Provideniya,RU,2020-02-22 21:44:44,64.38,-173.3,-14.6,87,18,2.73
